alias,true_name
avenida,avenida
abenida,avenida
ava,avenida
ave,avenida
a.v.,avenida
a.v,avenida
av.,avenida
av,avenida
alameda,alameda
ala,alameda
al.,alameda
al,alameda
ruaa,rua
rua,rua
ra.,rua
ra,rua
r.,rua
r,rua
beco,beco
calcadao,calcadao
calcada,calcada
caminho,caminho
largo,largo
lrg.,largo
lrg,largo
lg.,largo
lg,largo
rodovia,rodovia
rod.,rodovia
rod,rodovia
rdv.,rodovia
rdv,rodovia
rd.,rodovia
rd,rodovia
estrada,estrada
estr.,estrada
estr,estrada
marginal,marginal
marg.,marginal
marg,marginal
mrg.,marginal
mrg,marginal
estacao,estacao
est.,estacao
est,estacao
praca,praca
pca.,praca
pca,praca
prca.,praca
prca,praca
prc.,praca
prc,praca
pc.,praca
pc,praca
patio,patio
pateo,patio
ponte,ponte
pte.,ponte
pte,ponte
pt.,ponte
pt,ponte
passagem,passagem
travessa,travessa
trav.,travessa
trav,travessa
trv.,travessa
trv,travessa
tv.,travessa
tv,travessa
tunel,tunel
tun.,tunel
tun,tunel
tn.,tunel
tn,tunel
trevo,trevo
to.,trevo
vereda,vereda
vrd.,vereda
vrd,vereda
vr.,vereda
vr,vereda
viaduto,viaduto
viad.,viaduto
viad,viaduto
vdto.,viaduto
vdto,viaduto
vd.,viaduto
vd,viaduto
via elevada,via elevada
v. el.,via elevada
v. el,via elevada
v el.,via elevada
v el,via elevada
via el.,via elevada
via el,via elevada
via va.,via elevada
via va,via elevada
va.,via elevada
va,via elevada
ladeira,ladeira
ld.,ladeira
ld,ladeira
acesso,acesso
ac.,acesso
avenida avenida,avenida
abenida avenida,avenida
ava avenida,avenida
ave avenida,avenida
a.v. avenida,avenida
a.v avenida,avenida
av. avenida,avenida
av avenida,avenida
avenida abenida,avenida
abenida abenida,avenida
ava abenida,avenida
ave abenida,avenida
a.v. abenida,avenida
a.v abenida,avenida
av. abenida,avenida
av abenida,avenida
avenida ava ,avenida
abenida ava ,avenida
ava ava ,avenida
ave ava ,avenida
a.v. ava ,avenida
a.v ava ,avenida
av. ava ,avenida
av ava ,avenida
avenida ave ,avenida
abenida ave ,avenida
ava ave ,avenida
ave ave ,avenida
a.v. ave ,avenida
a.v ave ,avenida
av. ave ,avenida
av ave ,avenida
avenida a.v.,avenida
abenida a.v.,avenida
